n,generation,specimen,fitness
1,0,0,156.844361917205
2,0,1,253.77590742803724
3,0,2,123.80376143954058
4,0,3,170.50609606926707
5,0,4,214.1140835604059
6,0,5,225.43821084424349
7,0,6,262.8418122982705
8,0,7,272.3165626201999
9,0,8,215.2788250386578
10,0,9,191.87358525463264
11,0,10,296.0179958687386
12,0,11,246.38823754060638
13,0,12,223.13863170142253
14,0,13,220.99067948674946
15,0,14,107.95118088207232
16,0,15,243.88247742102067
17,0,16,209.9048682554192
18,0,17,271.13861944483654
19,0,18,340.7531745241349
20,0,19,208.56514325822042
21,0,20,157.14974122980976
22,0,21,191.03244315222287
23,0,22,252.60122129174295
24,0,23,245.40536218151695
25,1,0,214.01286906087563
26,1,1,140.78097183730557
27,1,2,217.90915805542815
28,1,3,254.50181180308897
29,1,4,199.00322518183114
30,1,5,266.4383291187699
31,1,6,174.53145174797217
32,1,7,243.90951898215457
33,1,8,190.79086272569958
34,1,9,376.2442429310123
35,1,10,200.0550763740337
36,1,11,184.75276701489435
37,1,12,281.9060096701421
38,1,13,217.15640042711937
39,1,14,272.37311832209457
40,1,15,167.37477526910232
41,1,16,246.88311899982227
42,1,17,269.07766853807163
43,1,18,210.29205999492837
44,1,19,202.20814320261348
45,1,20,171.14726070950428
46,1,21,242.2381984091009
47,1,22,263.1896752328789
48,1,23,224.85945134259836
,191.20407052039565
50,2,1,219.07479554349646
51,2,2,214.18439543966687
52,2,3,163.07120743964015
53,2,4,141.53117292824413
54,2,5,131.69737981861783
55,2,6,114.03162785772349
56,2,7,192.35172985272766
57,2,8,268.6217576777384
58,2,9,168.4758987011117
59,2,10,252.79782964856102
60,2,11,326.25759551754805
61,2,12,160.8299202620739
62,2,13,169.1337602372854
63,2,14,228.91774365793495
64,2,15,204.71737338482245
65,2,16,145.22620958521136
66,2,17,195.82734498391503
67,2,18,194.84162553109363
68,2,19,291.77188571489137
69,2,20,247.91924231864533
70,2,21,120.11289956801033
71,2,22,175.984036017423
72,2,23,137.78491946349277
73,3,0,177.17137434091467
74,3,1,173.33859801430864
75,3,2,249.6929343581225
76,3,3,161.40299337458222
77,3,4,311.3099668304
78,3,5,291.1291091427477
79,3,6,307.2515891263309
80,3,7,221.91512365988345
81,3,8,240.6963893085634
82,3,9,133.16780877038974
83,3,10,237.1883941091474
84,3,11,237.96524071722376
85,3,12,289.4178220356407
86,3,13,273.7345344538388
87,3,14,91.23789129932953
88,3,15,200.12174744670295
89,3,16,179.9637620552902
90,3,17,226.85493902355404
91,3,18,209.27872819506877
92,3,19,243.14541994420324
93,3,20,286.86069180572235
94,3,21,280.561302265099
95,3,22,283.4583032260827
96,3,23,316.80978600617107
97,4,0,174.24767818465415
98,4,1,241.46003872014703
99,4,2,198.0923745036547
100,4,3,231.02226875631428
101,4,4,214.60622863126704
102,4,5,179.327018066169
103,4,6,207.2824033495331
104,4,7,232.52560468639766
105,4,8,218.72093174303967
106,4,9,233.33522992937668
107,4,10,303.67642109754155
108,4,11,239.58750848425086
109,4,12,215.45366115017922
110,4,13,179.33516283992773
111,4,14,279.02751287542634
112,4,15,130.7121245246323
113,4,16,85.30780700254462
114,4,17,243.72233401992085
115,4,18,178.04668226464722
116,4,19,267.4318683502645
117,4,20,186.0954412713716
118,4,21,259.1883291456619
119,4,22,171.4878921097888
120,4,23,233.02833817624145
121,5,0,219.88153014355595
122,5,1,264.0579708045864
123,5,2,167.28329975699214
124,5,3,204.54931846878242
125,5,4,181.5657161821462
126,5,5,130.04999961651058
127,5,6,251.98547905629832
128,5,7,179.0313233660925
129,5,8,264.84677168848026
130,5,9,153.24336232891562
131,5,10,116.86234849178467
132,5,11,201.79346913901784
133,5,12,285.09290781436164
134,5,13,248.18486502254547
135,5,14,251.12702384144316
136,5,15,214.29094608607267
137,5,16,248.3305039443642
138,5,17,303.5027235170218
139,5,18,220.31719444382622
140,5,19,271.51033284753385
141,5,20,310.50653617498955
142,5,21,208.83469969682062
143,5,22,250.38005585277236
144,5,23,224.4186684558097
145,6,0,272.68285894163387
146,6,1,246.64184867372794
147,6,2,335.11013236101695
148,6,3,107.82781437882969
149,6,4,189.85011665646803
150,6,5,181.34838329054472
151,6,6,273.68506733353195
152,6,7,243.78133638169572
153,6,8,336.1025658322004
154,6,9,202.61297752120697
155,6,10,112.03997518947324
156,6,11,73.57381307581363
157,6,12,256.62178195784514
158,6,13,212.53668786560812
159,6,14,220.097988423267
160,6,15,174.6001711504726
161,6,16,237.56476523974843
162,6,17,110.57900442658894
163,6,18,172.85864393876628
164,6,19,265.9394361704691
165,6,20,148.48839629305743
166,6,21,178.29270445593676
167,6,22,169.4051365484076
168,6,23,221.57242961447014
169,7,0,168.71475410762068
170,7,1,315.606507839025
171,7,2,260.3890925176172
172,7,3,335.1596263828692
