iteration,fitness,ialpha,ibeta,ievapor,falpha,fbeta,fevapor
1,217.8953442932807,0.44072934,4.001664055999999,0.46926660539,0.04069064716472,6.10720002e-05,0.009911399999999999
2,195.85177046990688,0.2710889844,4.4485214,0.0528153116572224,0.09159002652721057,0.000456139749026117,0.0099001
3,192.01347562487584,0.35890903608889607,6.140190336,0.3214956685904084,1e-05,0.0002731513602922616,0.0092174505730164
4,204.2566006203196,0.33974645503395545,6.140190336,0.341336048373664,1.031073065e-05,1.01149e-05,0.01
5,224.6545041024304,0.43912558526112,4,0.01,1.0052600000000001e-05,6.274862693593972e-05,0.01
6,232.3779977353535,0.2709610351837097,4.642452201391222,0.01,0.09750791168330399,0.0004596294466594809,0.01
7,216.95240387516384,0.24461861274957505,10,0.01,1e-05,0.000331245452800433,1.0499726922999998e-05
8,194.30590798365256,0.27088452799494994,6.990675917374013,0.08887485395313097,1.02799e-05,1.0062499999999999e-05,1e-05
9,226.1563166664313,0.23086129728729823,9.308575923234907,0.010815285194177097,1.1386437860929977e-05,0.0003347486712379366,1e-05
10,213.24491265106542,0.40521245594015787,4,0.010316109031771456,1.0165800000000002e-05,1.0111497840842976e-05,0.01
11,206.70342612714137,0.2444419044678384,7.121463797066615,0.010358068580999998,1.0739176058999998e-05,1.0363597210965314e-05,1.03928e-05
12,205.26375425525595,0.25735650097572954,6.393366823678043,0.07473171886526817,1.01457e-05,1.0445406844e-05,1.105890161486292e-05
13,198.973664410172,0.2579715830130615,6.393366823678043,0.07332676255060111,1e-05,1.0423680397764478e-05,1e-05
14,214.18456561171388,0.2154049142682025,9.421200350777935,0.0100223,1.0746830250389421e-05,1.045621710033345e-05,1e-05
15,210.96860994814884,0.24567614322096012,9.743599999999999,0.01137266812741202,1.0973232580585e-05,1e-05,1e-05
16,212.55453679790722,0.25141513792660175,10,0.011797323555289584,1.1381875761885984e-05,1.04239e-05,1e-05
17,233.80170861280365,0.2570902568350059,9.668769151999998,0.01,1.01004618462003e-05,1.0230821472e-05,1.02037e-05
18,218.78039409579492,0.22104054795890185,9.525180699828947,0.01,1.0037200000000001e-05,1e-05,1e-05
19,212.19045578616632,0.23066652873746532,7.647722716674845,0.010457334202133281,1.0823330654346346e-05,1.00123e-05,1.0196600000000002e-05
20,206.23881170981323,0.27846910073929526,10,0.0101815,1.00893e-05,1.0800349056231161e-05,1e-05
21,204.71259080259665,0.2435037080639791,8.768095753777178,0.01,1e-05,1.0478059414234719e-05,1.1056479419500217e-05
22,220.87856539611334,0.2461420471146296,9.640167475927969,0.011354810235738108,1.011550275e-05,1.05593927068084e-05,1e-05
23,211.0476171990209,0.2652176672668072,8.736425270677385,0.01,1e-05,1e-05,1.1358650950937105e-05
24,205.83688301908148,0.26306628067470095,8.722136980525447,0.011826318711488301,1.05812914412738e-05,1.0227005481e-05,1e-05
25,199.63845329285775,0.2009887353849499,9.806565114974235,0.01,1.0920543394999999e-05,1e-05,1.03086e-05
26,212.29938333299202,0.23469899954118859,6.367189115297518,0.01,1.0378355901999999e-05,1e-05,1.01627e-05
27,220.9840880955985,0.24940828488786776,9.177328605837511,0.01,1e-05,1.0619302474999999e-05,1.0858502493510917e-05
28,213.3814263514148,0.1965700870655403,9.669998616560592,0.01,1.0998989536316645e-05,1e-05,1.02940361618912e-05
29,203.2336903221874,0.2439227670507007,9.11700744866093,0.01,1.02163e-05,1.1186693198842035e-05,1e-05
30,214.59405450866055,0.21618591629086306,6.696077456894998,0.01,1.04888768e-05,1.049143557e-05,1e-05
31,201.2860241027984,0.22640934827225798,6.696077456894998,0.0101898,1.0180398933312e-05,1.0473914872598099e-05,1e-05
32,199.8087300756907,0.25418350789981836,8.673696389018582,0.01241653294642641,1.079983069403835e-05,1.0255562400832518e-05,1.00261e-05
33,191.2733432763293,0.23844947842706957,8.16072779167867,0.0102724,1e-05,1.1253952878707483e-05,1.0209540805384062e-05
34,212.47609716268266,0.26505141095660234,8.664849218701784,0.01253429697951297,1.092710912656953e-05,1.01257e-05,1e-05
35,222.36774553538103,0.2531795552530558,9.46536064512435,0.010743218586744898,1e-05,1.1586894241070003e-05,1.0879345759011915e-05
36,197.37654082687678,0.3258473973890946,7.600522559088671,0.011280834449073318,1.0528240428e-05,1e-05,1.0496871205487247e-05
37,211.07798778415778,0.2588378401489105,6.7145424343695925,0.01,1e-05,1e-05,1e-05
38,194.36694182590665,0.30012989346519475,8.663387573889441,0.011826725302457144,1e-05,1.1260629673627605e-05,1.113350630278067e-05
39,218.5269947422229,0.2609362216655078,8.520146303052671,0.01,1e-05,1e-05,1.0470688578662398e-05
40,205.44118074763142,0.2401377617520771,8.416817412217162,0.01,1.0578517964999999e-05,1.0357830782e-05,1.0222499999999999e-05
41,208.5733274805268,0.27797055718987074,7.615764412454276,0.010674537931237097,1.0370050264887104e-05,1.069739317274776e-05,1.0359400469374439e-05
42,205.8543907654741,0.2882927175750758,7.86355643946964,0.01,1e-05,1e-05,1.0308362460000001e-05
43,204.75464179048322,0.30474419582985574,9.643737684084163,0.011832004121604256,1e-05,1.03698e-05,1.03003e-05
44,202.65215215027683,0.28454865636178145,7.86355643946964,0.01,1.0212500000000001e-05,1.003292461e-05,1e-05
45,222.81413686757094,0.315525119342742,9.456771132369816,0.010406326016695376,1.1065301470552416e-05,1.057683062101552e-05,1.0341328049136814e-05
46,215.56248067078408,0.255139358647978,9.845337196243134,0.0101613,1.01263e-05,1.0174e-05,1.00992e-05
47,210.82241152554653,0.23467793424173095,7.179950666818148,0.01042445415103925,1.0723151056265177e-05,1e-05,1e-05
48,201.2930969850801,0.306678182113418,8.371576056374227,0.01,1e-05,1e-05,1.04646e-05
49,216.9132548248698,0.27644142023813684,9.820428493136637,0.01,1.0236399999999999e-05,1.0427800000000002e-05,1e-05
50,199.19016247643376,0.3351974594794548,8.303739691963454,0.01,1.0439300000000002e-05,1e-05,1.0664074511999999e-05
51,191.44406936806982,0.3076455702476174,7.579879428219991,0.010166193493733409,1.0496300000000001e-05,1.0634499494e-05,1.030440494876997e-05
52,213.0185185376771,0.290682419433741,7.92566853719139,0.0101661,1e-05,1.079072922939552e-05,1.1156338108621787e-05
53,224.27999703230196,0.3026312804173819,7.833562529728479,0.010296425079664918,1.00132104795528e-05,1.0590040924557482e-05,1e-05
54,221.80316373368947,0.2527335202514509,9.83593714305982,0.010678938897142741,1e-05,1e-05,1e-05
55,221.45093961380726,0.23491472181050163,10,0.011037450471720956,1.04425e-05,1e-05,1e-05
56,225.6625002392072,0.26956248519714604,8.307130391785051,0.011500214630365425,1e-05,1.0163665087024253e-05,1.0344000000000001e-05
57,189.82967104344104,0.26718445121509926,7.596357448966078,0.010990382257181734,1.0107800000000002e-05,1.0828622025000001e-05,1.0029191187688168e-05
58,198.113974450543,0.29988024748872044,7.722679147740525,0.01,1e-05,1.1350760381566813e-05,1.0495728545715527e-05
59,201.22450199641105,0.2860305089855275,7.810033162888452,0.012050735504643393,1.1156443214238002e-05,1.03206e-05,1e-05
60,175.92977446390114,0.2943076785213838,7.435151571069806,0.012184563350915492,1.0668821624903777e-05,1e-05,1.0258185912e-05
61,209.88604053723017,0.3273732898752009,7.2115765633277364,0.013512171302423392,1e-05,1.011475588798512e-05,1e-05
62,211.39282921353174,0.27733288739148865,8.110885488000386,0.012500363318289878,1.039404845225049e-05,1.0261168242226549e-05,1e-05
63,189.85390590094417,0.3394097235460277,7.7706474248263255,0.01289775497102644,1.0383300000000001e-05,1.0450935651767732e-05,1.0037499681e-05
64,188.32514037667843,0.3390161943574338,6.87610079360651,0.01068509611326948,1.1215608334081717e-05,1.0393600000000002e-05,1e-05
65,211.28560973074937,0.2531244208426359,6.811091596755436,0.010692370570991401,1.1019277275003595e-05,1.04933e-05,1.1085887196251721e-05
66,205.02739672811546,0.343426795046024,6.861179654884384,0.01,1.0764434691822552e-05,1e-05,1e-05
67,193.85342418003796,0.3103820905644159,7.047220577318461,0.01465708599197103,1.0016711786723527e-05,1e-05,1.0214990788544638e-05
68,198.722756763979,0.26866375512443513,6.604297104546537,0.010000234280087898,1e-05,1e-05,1.0214200000000001e-05
69,195.14226764532864,0.2755368140187292,6.617463373203099,0.01,1e-05,1.1107792584043348e-05,1e-05
70,197.87922837196285,0.26544293101702926,7.055371260518923,0.010195286490081711,1e-05,1.0227000054687092e-05,1e-05
71,201.05537341531715,0.27385474800288084,6.824165095465089,0.0100086,1.0102400000000002e-05,1.0399399999999999e-05,1e-05
72,206.13750512542515,0.27077715002705594,6.194615954539856,0.010981254294498923,1.1414077733104045e-05,1e-05,1.0590542317285638e-05
73,187.7431633565199,0.2815204268959804,6.913415785670968,0.011789985176087288,1e-05,1.0782102115524222e-05,1e-05
74,222.58308335814192,0.25869628048425497,6.286948187833029,0.01,1.02339e-05,1.0631195407348028e-05,1.0177991554087309e-05
75,198.86183112451766,0.2463938192172661,6.524835218707121,0.011166472263309466,1.0712378145612042e-05,1.1880856583969384e-05,1.0464876003986775e-05
76,206.93237076311814,0.37119820284621724,7.90455953396179,0.011911369293756519,1.0096600000000001e-05,1.0906722765500458e-05,1e-05
77,175.87421844459678,0.2669741635175778,6.462825913396822,0.01026925001,1.084128716350057e-05,1e-05,1.01704e-05
78,205.82176290640493,0.2780784537317009,6.026270405232075,0.01,1.0032177559015855e-05,1.0216979960000002e-05,1.0345034769000001e-05
79,196.23287501899824,0.303260869541534,6.751953808682268,0.010212059198,1.0300182891721608e-05,1e-05,1.031682986821032e-05
80,172.8666161405545,0.26611161565689223,6.4789210621701745,0.010327616563754933,1.027584677913794e-05,1.0326100000000001e-05,1e-05
81,182.3582743689941,0.3560981341687043,8.259643322612595,0.011675620795241513,1e-05,1e-05,1.0309200000000001e-05
82,185.88894807807068,0.2665733957046151,7.09043491702069,0.01,1e-05,1e-05,1e-05
83,206.23318403878383,0.227337643740146,7.191682895219867,0.011234318597617764,1e-05,1.0604481822932134e-05,1.00314e-05
84,218.87046684108267,0.2699202751505593,7.265343862195359,0.01,1.0446979668000002e-05,1.0133040720000001e-05,1e-05
85,214.88252547941968,0.25352418678841315,7.136672402885298,0.010294983528148706,1.0383099999999999e-05,1.0050500000000001e-05,1e-05
86,217.93712104823356,0.25320728155492767,7.136672402885298,0.01,1.0033397191999997e-05,1.0019142440000001e-05,1e-05
87,171.65398174745775,0.2623265465537068,6.7906865247934185,0.010835573534276619,1.04226e-05,1e-05,1.0545464644e-05
88,207.02146749017817,0.224618024124511,7.743982239285661,0.013228693768830044,1e-05,1e-05,1.1076691073304476e-05
89,177.65910454321195,0.2659360717242027,6.988169481162615,0.01,1.04077e-05,1e-05,1.04247e-05
90,213.49321848430728,0.23929839948011575,6.693985542875767,0.01022184069270037,1e-05,1e-05,1.0482242396714783e-05
