n,generation,specimen,fitness
1,0,0,545.7865767413771
2,0,1,305.06893624123074
3,0,2,529.7682313002233
4,0,3,288.4866992674922
5,0,4,408.047567679681
6,0,5,304.1234338356902
7,0,6,243.521962776674
8,0,7,307.08145242818506
9,0,8,299.34206805816285
10,0,9,309.2691963552493
11,0,10,415.8906032538403
12,0,11,377.44046879233724
13,0,12,351.94758821311274
14,0,13,325.150136016452
15,0,14,283.7580900616688
16,0,15,233.5610337404295
17,0,16,293.0884242483607
18,0,17,472.02960871198945
19,0,18,170.62579469187688
20,0,19,308.40885672758276
21,0,20,319.7039394361839
22,0,21,666.0613366595218
23,0,22,319.1312774060028
24,0,23,279.0026283751166
25,1,0,357.4922781663165
26,1,1,268.37548699627075
27,1,2,317.02356883892173
28,1,3,285.4722899269641
29,1,4,698.0414823372893
30,1,5,853.5149365116696
31,1,6,282.89799052838436
32,1,7,315.01857953624767
33,1,8,264.268606705399
34,1,9,371.7214298349319
35,1,10,271.17894977978074
36,1,11,339.3490969228253
37,1,12,487.0225108494664
38,1,13,669.8215896777879
39,1,14,245.20548709470506
40,1,15,159.73866978529213
41,1,16,530.3646845107063
42,1,17,317.9052334588541
43,1,18,312.11742842447967
44,1,19,317.05582768973625
45,1,20,345.56682328688487
46,1,21,385.69820838802775
47,1,22,446.5504189880818
48,1,23,298.57284022362114
49,2,0,276.9564538282992
50,2,1,604.190426478631
51,2,2,575.9176915796122
52,2,3,287.25563167903107
53,2,4,237.5168034741396
54,2,5,404.2957599727853
55,2,6,728.3185812775301
56,2,7,229.40140970103022
57,2,8,150.61528726957636
58,2,9,295.06996858202064
59,2,10,357.0991466466637
60,2,11,350.570663282969
61,2,12,1043.2872539526516
62,2,13,283.25486198277855
63,2,14,313.19504329789265
64,2,15,286.87924047932904
65,2,16,311.91933960262406
66,2,17,376.3741968696554
67,2,18,559.2913751953529
68,2,19,250.0804858284338
69,2,20,69.01835407329827
70,2,21,266.1318617379481
71,2,22,274.51098683984543
72,2,23,443.47229702423004
73,3,0,380.5021937083903
74,3,1,983.4056796026523
75,3,2,271.6439178725901
76,3,3,300.25808026299086
77,3,4,294.6771024774449
78,3,5,266.8075412559835
79,3,6,359.59038640310916
80,3,7,427.3912706489681
81,3,8,1039.9032816233464
82,3,9,354.57102980313124
83,3,10,341.3921478904058
84,3,11,282.371020962611
85,3,12,196.08677642743385
86,3,13,301.3910612081548
87,3,14,287.3949529133259
88,3,15,233.44971744758348
89,3,16,274.6135687658955
90,3,17,316.64228588380274
91,3,18,255.12968053431956
92,3,19,365.2257932786156
93,3,20,258.8834572704995
94,3,21,263.0146458844506
95,3,22,361.5355240913383
96,3,23,340.0887185811666
97,4,0,776.2661539506903
98,4,1,320.0275322683414
99,4,2,351.8816510595013
100,4,3,279.21400041363773
101,4,4,272.2906093293381
102,4,5,182.1075545922978
103,4,6,595.5156105925917
104,4,7,275.66043418819316
105,4,8,985.261447450907
106,4,9,260.67989730759297
107,4,10,351.64436228239134
108,4,11,995.787146833365
109,4,12,331.4699746513375
110,4,13,360.6304674566996
111,4,14,247.72766705806904
112,4,15,267.4700141312837
113,4,16,312.9644563428903
114,4,17,280.7945402996239
115,4,18,999.7571472352491
116,4,19,250.77637882617856
117,4,20,321.78701162565255
118,4,21,805.2802471721848
119,4,22,231.67018968481017
120,4,23,434.37787003484266
121,5,0,1124.9938759575953
122,5,1,390.71923994627923
123,5,2,366.58919382777975
124,5,3,788.515786777763
125,5,4,343.2763105937395
126,5,5,244.1744457261314
127,5,6,1087.0012523433543
128,5,7,280.47719961116826
129,5,8,405.56194728154554
130,5,9,318.02682547624295
131,5,10,433.1149504830529
132,5,11,945.664833453909
133,5,12,354.1094261857062
134,5,13,356.97975669425625
135,5,14,255.50592266186885
136,5,15,1015.972797622938
137,5,16,304.6159319257012
138,5,17,1047.0404693358246
139,5,18,362.1940966006242
140,5,19,1083.7190917360977
141,5,20,361.777933129226
142,5,21,327.2631333681354
143,5,22,302.9388656329848
144,5,23,756.7609097461569
145,6,0,402.05742480368565
146,6,1,270.4696844325313
147,6,2,282.1938334975333
148,6,3,326.8869152528583
149,6,4,286.12777843804986
150,6,5,386.7625660287299
151,6,6,304.4763418599032
152,6,7,1060.0022209988904
153,6,8,263.7966287897079
154,6,9,282.47090446972237
155,6,10,1009.1191607785942
156,6,11,295.01279231602405
157,6,12,1036.7371386071704
158,6,13,1045.7387465284874
159,6,14,357.8822669104919
160,6,15,342.00112157857365
161,6,16,317.2876825375464
162,6,17,1028.9791235809466
163,6,18,376.20116602254984
164,6,19,487.36328155979226
165,6,20,1031.3645739763529
166,6,21,274.93793060420876
167,6,22,355.2890852472148
