n,generation,specimen,fitness,distance
1,0,0,303.32118262985904,696.066538486674
2,0,1,236.3298975803384,688.594758915664
3,0,2,292.8463599950882,682.4566472103153
4,0,3,280.9706249997144,645.0964789724655
5,0,4,252.37278368575718,645.2919565237152
6,0,5,248.0990375514069,689.3220213222949
7,0,6,222.17099774190277,651.1610110643436
8,0,7,279.35567892621975,678.569389689165
9,0,8,220.24700397113872,650.47002795842
10,0,9,294.029282883928,699.2717045734411
11,0,10,224.21403254147435,705.766195308552
12,0,11,287.26974563845727,684.9151030306598
13,0,12,328.2319070302011,654.6385863944695
14,0,13,243.34154970197528,756.2571531781336
15,0,14,273.777090968928,666.0130790892657
16,0,15,277.1137238941054,683.5609868069184
17,0,16,282.4625943508658,708.6993516529923
18,0,17,213.2381484090231,721.9959241546559
19,0,18,232.50698354484953,642.5975104256296
20,0,19,326.56877423971537,691.7551848950367
21,0,20,218.8625832744176,688.8277969697211
22,0,21,286.0279671782376,650.8795937330236
23,0,22,244.38135497317694,700.5358432517689
24,0,23,272.50875047898205,664.1272127065818
25,1,0,288.52027490999893,698.2461545380827
26,1,1,279.79974083984786,679.5358859889599
27,1,2,244.13858639446948,707.3224918154854
28,1,3,288.96841666662414,682.0111617549856
29,1,4,240.6610110643436,701.7924105132402
30,1,5,270.63163752363084,698.4536777489019
31,1,6,280.69457496302704,709.9910990023038
32,1,7,239.71426487154446,638.5724864334443
33,1,8,281.2551848950367,629.6348711615866
34,1,9,234.75744396678098,681.7297772759359
35,1,10,262.08023484232547,702.6958519781776
36,1,11,290.069583752696,738.6025660341289
37,1,12,298.1993516529923,715.4868198693179
38,1,13,278.094758915664,717.7216284621179
39,1,14,345.8028615521738,698.8970883148174
40,1,15,295.34560950107715,683.1706206382164
41,1,16,232.538860361689,701.2096674887713
42,1,17,274.3895075311911,666.6841263500266
43,1,18,255.51307908926572,673.0424326484174
44,1,19,273.2109879010431,707.5639065677708
45,1,20,241.67102870910628,671.7001743837577
46,1,21,310.7038835050994,634.5993059319661
47,1,22,234.37639313522826,682.3899351370403
48,1,23,275.0865026126251,744.0286585107169
49,2,0,328.1025660341289,736.8168021640805
50,2,1,260.31418433001284,672.6007099088492
51,2,2,292.19585197817764,670.1726777595873
52,2,3,306.66746820981444,703.2613822783317
53,2,4,271.22977727593593,690.0067805988426
54,2,5,271.1363683051207,641.4740000448348
55,2,6,290.9849671797968,692.8018091024876
56,2,7,258.1856005628162,633.9317832811424
57,2,8,223.98394765207493,636.3429430661076
58,2,9,219.30903650121297,689.1434366778835
59,2,10,288.39708831481744,745.4988378881387
60,2,11,271.51116175498555,644.2194921135306
61,2,12,271.30682506784075,681.9883522224259
62,2,13,298.7373140836254,623.4462237583056
63,2,14,332.16176547169016,701.7951708607527
64,2,15,269.0358859889599,731.8681948103996
65,2,16,285.48505584480154,714.5651936215282
66,2,17,285.65091655016573,643.0188774794026
67,2,18,256.18412635002665,671.0009532616501
68,2,19,304.2842458930934,623.6100656988149
69,2,20,296.82249181548536,669.357121042187
70,2,21,291.29241051324016,628.9524420307941
71,2,22,297.7657870331123,654.3946225036119
72,2,23,225.15983806951735,667.9022541926554
73,3,0,320.5624135845589,673.6513427763018
74,3,1,276.80774945971734,703.8342152059432
75,3,2,258.9075026361049,653.9869597385375
76,3,3,200.37262354935763,759.948216172628
77,3,4,231.95270914209323,667.1372909880013
78,3,5,304.06519362152824,660.3218608297982
79,3,6,232.5188774794026,657.3477316358413
80,3,7,256.5580320578959,616.630194946342
81,3,8,260.15348342703516,655.1618094039331
82,3,9,292.76138227833167,660.6777687898316
83,3,10,242.87776582061795,688.3402051974119
84,3,11,209.8034493804247,688.5454839623147
85,3,12,279.8120375397913,657.4215051205398
86,3,13,225.84294306610767,675.445878644699
87,3,14,282.3018091024876,665.3613091906556
88,3,15,260.5009532616501,629.6272006020786
89,3,16,326.3168021640805,671.9064931326068
90,3,17,222.68455306264883,744.2337406551771
91,3,18,273.54659965077377,672.0402316850855
92,3,19,334.9988378881387,695.5057553045377
93,3,20,262.7521434915275,643.0188774794026
94,3,21,294.8287110616071,660.5992841518835
95,3,22,213.11494661390654,643.0188774794026
96,3,23,233.70963286513552,645.7428293469881
97,4,0,230.73562259124404,740.0686641096167
98,4,1,277.7936806826308,688.5661890199437
99,4,2,250.47071575970128,757.1259175780237
100,4,3,349.448216172628,710.16539649109
101,4,4,235.99907210261966,627.594552158557
102,4,5,286.87348324813183,683.0370960148034
103,4,6,263.05531864999085,728.791522104615
104,4,7,293.62698371550096,698.3800637387236
105,4,8,206.13019494634204,705.1739396481488
106,4,9,244.62456888970834,639.6545625228059
107,4,10,333.9235869105975,635.37933116382
108,4,11,252.39623170610548,635.7721330440838
109,4,12,261.38349549122927,726.6851351094342
110,4,13,261.09740967075993,676.6649582543005
111,4,14,278.04548396231473,684.4159005850789
112,4,15,247.4006784309742,686.5649003713008
113,4,16,249.97887435508702,645.0001658543107
114,4,17,247.04571529921049,677.2713682820497
115,4,18,243.4869597385375,613.4508686860977
116,4,19,264.15557048120075,655.4631559393162
117,4,20,218.3433572234995,713.8217667790707
118,4,21,232.47472726833942,637.8100207809354
119,4,22,252.13302453816732,665.896513220431
120,4,23,223.30189875434507,651.0793208930784
121,5,0,294.4754717364065,766.4457419010383
122,5,1,272.53989830753346,750.2278892465105
123,5,2,268.68985057603254,748.212459677644
124,5,3,266.4495285669323,643.0835747517422
125,5,4,276.06490037130084,647.1793051368218
126,5,5,224.00775591952464,707.1367944271659
127,5,6,274.05201803802316,699.4701201467146
128,5,7,217.02895474533454,659.4881987911444
129,5,8,278.06618901994375,654.827706784486
130,5,9,229.13673831419115,647.6587071847417
131,5,10,318.29152210461496,612.3057457887439
132,5,11,222.35669249290692,704.3933118781673
133,5,12,329.68188897292964,645.9388041461308
