iteration,fitness,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
1,186.05347728427498,1.2087347092698402,1.76457491897874,0.29434174905983995,5.3106784887503995,1.8579920723584797,0.33270346090799996,0.8866690466100001,0.999,0.27234826082816
2,122.4609317633588,1.1329943610877113,1.6403911646481524,0.28672479315861815,5.678171898084019,2.0760339720391463,0.2632577526144599,0.999,0.999,0.29000997037423654
3,218.6583359499247,1.1948251684558575,1.6023640577911622,0.30479420744240016,5.459504416742969,2.0983271775129624,0.31633445576446545,0.92485422,0.999,0.28429471127033734
4,126.95032503699976,1.2722518021837086,1.6142905175983098,0.29287670848360137,5.934409320941374,1.705058033187239,0.2886188216279617,0.999,0.999,0.2963475338987989
5,172.44174156375095,1.2358253012476617,1.5345485035022213,0.35122951195941654,4.56239376917269,1.758962472716524,0.2927901334983357,0.9797714809197431,0.9027963000000001,0.21363527554736453
6,131.32433891335944,1.3157090487203102,1.5283382119737523,0.3834801964836953,4.70582841760442,1.7667599580954778,0.2887393094275344,0.999,0.9407583,0.2211158958648725
7,133.4910805369283,1.3474439509754441,1.5283382119737523,0.35392921254266174,4.428278657534111,1.609306310630009,0.2961310357488792,0.999,0.999,0.20899874477147748
8,143.54076472400155,1.2657504208380053,1.6025183916857673,0.36727269382428446,4.627957261795907,1.62483009367554,0.26908767039477144,0.9862327800000001,0.995763551043939,0.31561480815765347
9,56.6008364034203,1.268976370967155,1.437859823105679,0.4,4.037091220590517,1.7478368818242684,0.2807931121794255,0.999,0.999,0.20935294684139655
10,74.10432881161329,1.1609357227430117,1.437859823105679,0.4,4.291105000190072,1.676630007258748,0.2653101799738519,0.999,0.999,0.20579813380402967
11,121.3072549197143,1.3280855979266775,1.4126616816938369,0.379328,4.0026209209126264,1.6132228470878858,0.30794142114961887,0.999,0.999,0.21302466792371513
12,159.8174978114828,1.006093196438999,1.433595656436897,0.3696741532493104,4.047122135031863,1.5702505190771008,0.252547994703941,0.9419770800000001,0.999,0.33600123056405584
13,143.59535569189148,0.9418432760502855,1.612492177403108,0.3508228897547233,4.620332178601408,1.7298840976651386,0.2501246161105182,0.999,0.96371532,0.24325509230385736
14,140.00847389922743,0.8530442055427062,1.569012684143804,0.31469057925411265,3.937744482297659,1.8190853156244697,0.22530773159367876,0.999,0.999,0.34123214756326425
15,119.62105651939788,0.913618290062869,1.3222065734534252,0.315110232421927,3.805011708287692,1.814351111206705,0.22769690526865768,0.943056,0.999,0.2792923322380165
16,141.04841012000514,0.8914417884584713,1.6685644627689697,0.2766238138228852,3.4805573780611883,1.6692206240210452,0.23995934212590428,0.999,0.999,0.35676816612958356
17,213.64006400914957,0.8572424514712415,1.6378963604597834,0.3301874732986164,3.7130061697869876,1.7793001442246166,0.24383119523399538,0.999,0.999,0.2546486707682298
18,167.0149275345896,0.9842750699191157,1.4920518590843102,0.33256101537476074,4.04417041691324,2.0592135839398265,0.24021745353804042,0.999,0.9800389800000001,0.2918980356511553
19,162.795798699175,0.9653610666465223,1.5469416138769234,0.3434444692987083,3.285672805092148,1.7999698398976847,0.2273753564744914,0.999,0.999,0.2705806806472035
20,134.7143963917644,0.8448391632496346,1.6220306561780393,0.3213336828105934,3.7372200715910333,1.8530983259616691,0.24040017772028632,0.99464436,0.93170736,0.25302398257215236
21,167.42946487605312,0.7998790511363869,1.5466279185120102,0.3391954052675283,3.1674688913900173,1.7484808164391454,0.2173818980136765,0.95720184,0.9277313399999999,0.26265872915504296
22,11.004285879127195,0.7131881871581213,1.6504560940835318,0.3542771657469764,3.274588096961092,2.1357345078982672,0.24093867411837977,0.999,0.999,0.3023187317940786
23,196.11733587612787,0.7381326071010783,1.465912896926216,0.3541493823770868,3.077739049475326,2.185362946374886,0.23788583221719928,0.97568334,0.9846743400000001,0.2810114863989406
24,157.54882596431463,0.6208461928801515,1.3801345522614061,0.37115508480413983,3.2735484154046177,2.24088523880087,0.2157143959580372,0.91144764,0.9780010200000001,0.2084358172206907
25,140.98936280972103,0.5444471699321576,1.3614386775773528,0.37084540277564637,3.1063324524747555,2.5199231599746676,0.1987223906487697,0.9221483477808,0.94667238,0.2486029005257652
26,148.3046298174327,0.6660490860095326,1.184084309497061,0.30866353919281375,2.9561004627887915,2.1648090504460247,0.20255257037456462,0.9439550999999999,0.9396394200000001,0.25504589974730485
27,145.61870451402845,0.6353135249651659,1.1683235027918168,0.3106469109101255,2.9028915839663156,2.2280894014861077,0.18628345539606542,0.9139451400000002,0.9837752399999999,0.25908811184367275
28,-9.119583862671476,0.5935832720702525,1.232375751226652,0.35875872567517364,2.264542763149694,2.2088936626690536,0.1795302451038521,0.999,0.9343646999999999,0.1795302451038521
29,99.48900613451528,0.5289543943380285,1.3239203306085177,0.3388569758704337,2.5984231397754196,2.144073134278387,0.18718307152632127,0.9863475587064,0.999,0.25110344840878185
30,-68.08668700447888,0.559652992098993,1.388818112019841,0.3123452447590378,2.3915626434445127,1.9085417951571173,0.18217176579924432,0.999,0.9779410800000001,0.21475626390931934
31,-54.115503440769885,0.6164556810527683,1.315006197182486,0.3352217895785859,2.2622453881986755,2.001631600941081,0.1826715045493135,0.999,0.9511662816000003,0.180051280061083
32,18.363266548707287,0.5345744911233756,1.367632703617695,0.297159897280877,2.061020016577656,1.8685828230869155,0.22496155116187797,0.999,0.92713194,0.1797911793043602
