n,generation,specimen,fitness,distance,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
1,0,0,127.85554263960898,583.4732004090466,0.6314900000000001,0.828476,0.216655,2.45278,2.218402,0.24002,0.9208440000000001,0.6565679999999999,0.1978092
3,0,1,178.51919997499624,625.2455015554817,0.39263,0.925892,0.17540499999999998,2.6870800000000004,1.3367259999999999,0.23315600000000003,0.842004,0.65916,0.1630008
5,0,2,64.35562219772919,622.7994707336085,0.6251599999999999,1.148576,0.253165,2.2485760000000004,1.622638,0.217148,0.9422280000000001,0.7126199999999999,0.1569096
7,0,3,115.69664011118698,577.081170417729,0.50369,1.038422,0.222025,2.058628,2.4474280000000004,0.188264,0.7951320000000001,0.7957259999999999,0.2142036
9,0,4,156.33670498539652,576.2707223695548,0.39178999999999997,1.3280960000000002,0.25016499999999997,2.601544,2.0401059999999998,0.22847600000000004,0.868734,0.895626,0.1668672
11,0,5,139.25848148908904,578.9710765361499,0.60611,1.1130680000000002,0.23986000000000002,2.6375800000000003,1.82818,0.21695600000000004,0.8204039999999999,0.958914,0.222984
13,0,6,110.83324172335654,605.7956325100008,0.64868,0.893618,0.27793,2.75044,2.1275439999999994,0.22737200000000002,0.7544700000000001,0.6799499999999999,0.2025072
15,0,7,256.2310740381547,653.038488740763,0.53981,0.792176,0.272575,1.651672,1.5271059999999999,0.155756,0.9462780000000001,0.960696,0.168066
17,0,8,132.62297620934964,674.2545273076012,0.63746,0.80597,0.30721,1.9844440000000003,1.949476,0.144368,0.848322,0.8325,0.1377396
19,0,9,155.325836462874,675.570145053788,0.5542400000000001,1.2502160000000002,0.28267000000000003,2.3040160000000003,1.7385760000000001,0.20483600000000002,0.773154,0.7787160000000001,0.1519092
21,0,10,140.9117525969158,587.1129728313716,0.6479600000000001,1.10396,0.32014,1.9845760000000001,2.212246,0.14014400000000002,0.9662040000000001,1.093644,0.2134152
23,0,11,213.66723353563543,629.0129826029805,0.5761700000000001,0.8224699999999999,0.18355,1.7292880000000002,1.373092,0.22960400000000003,0.986454,0.635238,0.1573416
25,0,12,277.72348925273184,681.0462845576803,0.44950999999999997,0.802472,0.27478,1.6397920000000001,2.162314,0.14336000000000002,0.861444,1.1398139999999999,0.16774199999999997
27,0,13,171.89843086500457,578.3349700298169,0.6406700000000001,1.3273040000000003,0.274285,2.65408,1.869106,0.236372,1.068318,1.0672380000000001,0.1883268
29,0,14,114.21629986545213,609.2154353562421,0.48443,0.81455,0.185635,2.7183640000000002,1.850638,0.234272,1.1428380000000002,0.757062,0.17552879999999998
31,0,15,87.26694422051514,645.4818255659599,0.5589500000000001,1.120196,0.245245,2.3609080000000002,2.3131359999999996,0.158336,0.785034,0.939528,0.2213532
33,0,16,167.7881962358066,670.741475646904,0.63509,0.771254,0.29905000000000004,1.9845760000000001,2.436712,0.22058,0.97236,1.070046,0.2101968
35,0,17,223.35193627871456,574.2587291520869,0.37168999999999996,0.9427880000000001,0.208675,1.915672,1.7234139999999998,0.17505199999999999,0.82197,0.7584660000000001,0.2068704
37,0,18,158.59751311609602,642.9836242839995,0.58292,1.3130480000000002,0.322615,1.8502,1.9220019999999998,0.158,1.0098360000000002,1.049256,0.12733919999999999
39,0,19,166.3836451651723,597.6821160487693,0.49742,1.2311420000000002,0.26284,2.034076,2.0699739999999998,0.166724,1.0817100000000002,1.162386,0.1469088
41,0,20,185.56692008591358,624.4479252276109,0.39296,0.938366,0.271555,2.7580960000000005,1.70335,0.20488400000000004,0.7095959999999999,0.9605340000000001,0.22166639999999999
43,0,21,168.07652660058363,640.8880080700982,0.48185,1.167914,0.193555,2.6270200000000004,1.7624019999999998,0.209816,0.869112,0.9617220000000001,0.1369188
45,0,22,107.5549023654255,622.6893598331212,0.52784,1.398914,0.30664,1.857328,1.8365019999999999,0.20915600000000004,0.879102,0.875052,0.21894479999999997
47,0,23,173.9275243655993,638.0134544129863,0.5552,0.9616640000000001,0.24727,2.2168960000000006,1.408432,0.228428,1.057518,1.165518,0.20155679999999998
49,0,24,274.9088672173068,620.5426007284941,0.44972,1.2810380000000001,0.31705,1.8281560000000001,2.29786,0.20598800000000003,1.157688,0.99315,0.1869552
51,0,25,175.80627199549303,625.6088810308199,0.5177,1.2653300000000003,0.297085,1.9299280000000003,2.445604,0.232028,1.066428,1.0912680000000001,0.2174112
53,0,26,131.69900570137327,616.1472134270645,0.35591,1.3974620000000002,0.315325,2.702128,2.053672,0.24333200000000002,0.825588,1.052712,0.2264292
55,0,27,118.49069125650215,629.8474405177403,0.57029,1.149236,0.25851999999999997,2.11288,1.948108,0.179732,0.83574,1.0406700000000002,0.1454508
57,0,28,190.57463217699149,604.9232478913797,0.51983,1.01618,0.24817,1.7122600000000001,2.39248,0.244832,1.139976,1.095804,0.21803760000000003
59,0,29,92.20839250618917,623.220210072373,0.45395,1.212728,0.22624,2.6332240000000002,1.7014119999999997,0.17508800000000002,1.0423980000000002,0.741348,0.18673920000000002
61,0,30,178.11393741921665,632.4889160360356,0.428,0.9043760000000001,0.22677999999999998,1.7906680000000001,2.399206,0.2066,1.033272,0.633834,0.13650839999999997
63,0,31,139.80724647645332,615.3480061050402,0.56393,1.026146,0.24895,2.7191560000000004,2.001916,0.24392000000000003,0.638802,1.018746,0.2121948
65,0,32,96.875665398107,636.7744412545189,0.61697,0.967736,0.219385,2.038036,1.650682,0.256016,1.0182600000000002,0.6891299999999999,0.15760079999999999
67,0,33,139.61596896050548,714.6986583469813,0.54398,1.105544,0.1951,1.81588,2.205976,0.180512,0.9292679999999999,0.9505440000000001,0.22435560000000002
69,0,34,116.06463233642012,643.482112719707,0.57335,1.4138960000000003,0.312685,2.6511760000000004,2.1151180000000003,0.252944,0.8107920000000001,0.747288,0.14391719999999997
71,0,35,189.9306925950732,670.4200079185101,0.41026999999999997,0.9241760000000001,0.25315,2.377144,2.194918,0.238472,1.132254,1.0465020000000003,0.20561759999999998
73,1,0,105.90293479469938,649.5078874186796,0.5493541183999999,0.9048775868,0.3068958646,3.5003199616,1.6017427758399994,0.22737200000000002,0.6838968762000001,0.823229064,0.21959070739199998
75,1,1,128.2914440828432,600.3508002770915,0.5663512063999999,1.33025530088,0.3455710144,1.67556988192,2.2966559411199996,0.24416871440000004,0.96180791616,0.6835206182400001,0.20611025582399994
77,1,2,192.01323995110454,621.6069024988043,0.7351381471999998,1.39639275776,0.20240035419999997,2.2906693427200002,1.622638,0.15700668992,0.8044554218400001,0.8547876899999999,0.14321139192
79,1,3,154.6644760976028,661.1728551190827,0.57705998,1.1925830655199998,0.23106002919999996,2.54123415304,2.2884317075199996,0.13661863424,0.999,0.9666427780799999,0.170712014904
81,1,4,113.7242170921121,589.655543623881,0.5145816992,1.1709732320000001,0.3146385252999999,1.9644459366400002,2.0904445354,0.16071992072000002,0.999,0.6679814832,0.19147992307199999
83,1,5,100.6054835834467,631.497657548713,0.38368793719999994,0.6519006559999999,0.14631750699999999,3.1540090146399997,2.29579046452,0.257464928,0.999,0.543570516,0.18294313651199995
85,1,6,200.0102781948708,596.2153059481071,0.46270938800000005,1.105544,0.14833453,1.9224358384,2.6403767939200002,0.14661184640000002,0.8112323786399998,0.9200315376,0.27560290615200006
87,1,7,111.18750580486062,589.2344233673363,0.4560220399999999,0.893618,0.225901504,2.3548717192,1.5173643807999997,0.22737200000000002,0.8594922240000001,0.777250845,0.15077066054399996
89,1,8,95.81175559765961,637.127134964846,0.6582195200000001,1.4265472020799999,0.24758463729999997,2.3609080000000002,2.5324212927999996,0.20291075072,0.999,0.999,0.16988858099999996
91,1,9,210.03756818758802,629.1233648178135,0.39296,1.19223153764,0.23388489040000002,1.9439060608,1.93739029,0.22043469560000006,0.7500429719999998,0.999,0.27932183064
93,1,10,116.54414365204218,631.3082963083118,0.5450770039999999,1.1851007167999998,0.2258535598,1.7878427776,1.4739719064399999,0.217148,0.999,0.5049910367999999,0.20054615976
95,1,11,154.61179986934565,595.6377191424936,0.5133813919999999,1.0753198227199998,0.24781815519999997,1.6042240614399998,1.73547624652,0.21568876543999999,0.999,0.8213515595999998,0.180521356608
97,1,12,194.9996133678368,593.7317382749668,0.428021552,1.120196,0.3063845785,2.73260935552,2.0474954617599996,0.19295458304,0.9872901597599999,0.999,0.168281556768
99,1,13,174.0231686499999,655.502225489596,0.5152568719999999,1.33271570432,0.259392859,1.88956835584,1.622638,0.217148,0.7548753844799999,0.8696244383999998,0.217148
101,1,14,209.65745199637456,604.7517916049517,0.27583858279999995,0.6765258130399999,0.1863759895,1.5110820736,1.9084052587599998,0.15441336919999996,0.7789645295999998,0.65479886712,0.20716829337599998
103,1,15,230.80410299599498,802.3176179447905,0.5434593409999999,1.4381225830399997,0.22982333589999998,2.0725086183999997,1.4680103699199998,0.17727353839999999,0.68174883504,0.999,0.209816
105,1,16,155.1071339459362,661.0593010456969,0.539046689,0.99885838976,0.24783045909999998,1.6694775697599997,1.76279632144,0.30295909376,0.93462444,0.7033949909999999,0.172947965904
107,1,17,168.0250880417285,662.2762983069729,0.45598579519999993,1.0904864907199998,0.1951,1.8427913416000001,2.0721614958399996,0.14259364927999998,0.9796157402399998,0.79376127264,0.17783322278400002
109,1,18,163.34922582165325,629.4640862160747,0.6162794845999999,0.6489188921599999,0.2954222365,2.1322094516799996,1.7897071477599997,0.18999739904,0.999,0.999,0.18641880719999998
111,1,19,99.36048216615188,586.5515235662602,0.5797358744,0.8122040326399999,0.23036496009999996,2.2485760000000004,1.2490742796399998,0.24288003799999996,0.999,0.7547785991999998,0.18834486926400001
113,1,20,104.60822812431331,608.738216879098,0.43315792880000004,0.6246783949999999,0.1719574132,2.74494959992,1.67430921136,0.234272,0.999,0.6726193045200001,0.15286452134399997
115,1,21,151.7166485909163,638.7857590694558,0.6972994940000001,1.23390210944,0.2609409067,1.7148442511200002,1.38059741116,0.31859655103999995,0.999,0.700087167,0.256016
117,1,22,183.72535252338332,621.6419549678595,0.5814759920000001,0.9825725359999999,0.216655,1.8081894159999998,2.218402,0.1834520864,0.65099987424,0.5333433177599999,0.15007388385599998
119,1,23,211.64447126434527,641.956937069081,0.58292,1.1635180937600003,0.28701766089999997,1.3981591359999999,2.1159704418399996,0.11989987999999999,0.999,0.9120270600000001,0.10943021491199997
121,1,24,84.58154088846436,628.1720741059203,0.5537809988,0.715435556,0.17573322909999997,3.44269927144,1.82498815732,0.25797095552,0.999,0.584451864,0.13918380667199998
123,1,25,104.94927192564535,613.3575215150619,0.6967992512,1.4020726544,0.27979753719999995,2.387054032,1.6176722033199995,0.15964003999999998,0.999,0.999,0.14383471996799999
125,1,26,130.83901855518843,664.9900091305694,0.524876408,1.3104052808,0.2157125971,3.05614818784,2.2018278956799993,0.17496128,0.999,0.999,0.204366555432
127,1,27,214.32196604960222,623.1703404008117,0.4773209420000001,1.4525581531999998,0.19007958969999997,2.3614746179200004,1.6253018790399996,0.17155072255999998,0.999,0.999,0.192519732168
129,1,28,104.15193854390134,624.1849898951621,0.7509758839999999,1.1747347304,0.2560837228,1.7247491060799998,1.4219965157199999,0.31695292832,0.999,0.4846237811999998,0.256016
131,1,29,189.57595832406162,621.8223448740634,0.5823953719999999,1.3380221729600004,0.30478729509999997,1.8502,2.0492000923599996,0.15660643999999999,0.92653254,0.999,0.128072673792
133,1,30,120.11642387795621,628.8156903134275,0.6249478988,0.9758934996800002,0.23986000000000002,2.6375800000000003,2.0045628063999996,0.22200673568000004,0.5957445686399999,0.999,0.28535708447999997
135,1,31,173.01075093443887,660.5908124109992,0.6901549814,0.6884473904,0.2527797847,2.038036,1.4119933828,0.30937997504000003,0.999,0.7157993309999999,0.11236306636799999
137,1,32,203.90813660538333,644.2014489559895,0.5061983762,0.7326274894399999,0.165861556,1.97920613176,1.7418345076000004,0.20694731936,0.99106842744,0.59229069084,0.23174687483999995
139,1,33,128.0224324734753,643.5303925170213,0.657079262,0.80073850472,0.2139909772,2.6252352596799997,2.6197190454399992,0.15291140864000002,0.8128713056399999,0.9005187974400001,0.205070458608
141,1,34,254.85705318792736,626.8834027257144,0.428,0.7595492273600001,0.20880541719999995,1.66883094928,2.5104811742799997,0.2066,0.7651141199999999,0.7262469972,0.09747245793599998
143,1,35,168.17470883401836,621.2519331356358,0.5824365655999999,1.43677668992,0.22176747669999997,1.7311786624000003,1.622638,0.22346700679999998,0.95952730608,0.5868283176,0.11167256232
145,2,0,147.34965286268687,665.147415774422,0.4706162762520319,0.8198172269724798,0.14631750699999999,2.539734218948713,2.9078022865517417,0.23438577185408,0.999,0.5951988436096799,0.1477961011253145
147,2,1,164.29348310941168,579.9823082691124,0.479783048256032,0.6782383205872998,0.1719574132,2.1362295766417407,2.0969383424914914,0.26223002048,0.9522468000000001,0.826178291741916,0.18694719502285817
