n,generation,specimen,fitness,distance,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
1,0,0,202.31717066368915,631.1636638152555,1.3125864420000002,1.346315966,0.185667783,5.835776675,2.356759956,0.422783895,0.93188937,0.76139508,0.334504393
3,0,1,217.21203674400473,657.3144259474748,1.0038678540000001,1.419792722,0.105150533,6.16902405,0.414814428,0.411723131,0.91065367,0.7625946,0.28726488200000005
5,0,2,178.5800807500301,625.3294303377578,1.304405128,1.587753816,0.256932869,5.5453351600000005,1.044553164,0.385927573,0.93764919,0.7873346999999999,0.278998334
7,0,3,200.06044644568152,654.8504500070748,1.147409202,1.504669327,0.19614966500000003,5.275170105,2.861203784,0.339383414,0.89802861,0.82579431,0.356753719
9,0,4,175.92382403820267,572.0683465679841,1.002782182,1.7231581360000001,0.25107706900000004,6.04736529,1.964052068,0.404181701,0.917853445,0.87202581,0.29251208800000006
11,0,5,188.33079447776714,601.1766503706582,1.279783638,1.560971638,0.23096239600000001,6.098619675,1.49727204,0.385618181,0.90483567,0.90131409,0.36866986
13,0,6,253.22207132537736,654.183620741073,1.3348039440000001,1.395449813,0.305272498,6.25914165,2.156639632,0.402402697,0.887076225,0.77221575,0.34088018800000003
15,0,7,200.90394546312086,610.1795857644139,1.1940930980000002,1.318936416,0.29481989500000005,4.69635227,0.8341380680000001,0.286999481,0.938740065,0.9021387599999999,0.29413901500000006
17,0,8,205.78309836091137,632.4595947327779,1.320302468,1.3293406449999998,0.362425106,5.169657415,1.7644339279999999,0.26864866800000003,0.912355435,0.8428125,0.25298215900000004
19,0,9,220.6151607395327,622.6534253919173,1.2127433920000001,1.6644165560000002,0.314524662,5.62418806,1.2999137280000002,0.366087811,0.8921087950000001,0.81792246,0.272212143
21,0,10,190.53500164015793,619.7672746219334,1.3338733680000001,1.55410186,0.387663604,5.1698451599999995,2.343200988,0.261842044,0.94410717,0.96366414,0.355683758
23,0,11,248.6204899249441,656.1637815532774,1.2410871860000001,1.341785895,0.12104903,4.80674633,0.494912776,0.405999379,0.949561545,0.75152403,0.279584614
25,0,12,172.0529871137288,624.8967073536911,1.077383358,1.3267022519999998,0.299123908,4.6794552199999995,2.233222692,0.26702436,0.91588987,0.98503059,0.293699305
27,0,13,154.97457775565684,602.3565683979954,1.3244512860000002,1.7225607640000002,0.29815770100000005,6.1220878,1.5874140680000002,0.416905447,0.971611765,0.95144403,0.321635547
29,0,14,190.74500028885043,613.2846152130066,1.122516294,1.3358121749999998,0.125118811,6.213519615000001,1.546737164,0.413521472,0.9916838649999999,0.80790147,0.304267002
31,0,15,203.6685100001599,586.4165230732639,1.21883091,1.566347986,0.241473557,5.705106155,2.565417408,0.29115693600000003,0.895308695,0.8923426799999999,0.366456653
33,0,16,211.80998579938364,641.5377367400348,1.317239322,1.3031558389999998,0.34649733,5.1698451599999995,2.837601136,0.391457955,0.9457653,0.95274351,0.35131597200000003
35,0,17,190.13253256537374,628.9096438854448,0.976803602,1.432536658,0.170091355,5.071842269999999,1.2665184919999999,0.318093377,0.905257475,0.80855121,0.34680161600000003
37,0,18,174.2560201583895,616.3271050425747,1.249811336,1.711808068,0.39249463900000003,4.97872075,1.703920756,0.2906155,0.95585953,0.94312236,0.23886746800000003
39,0,19,105.58209057975303,616.1332373382023,1.1393054360000001,1.650029847,0.275817824,5.240249535,2.029838172,0.304673499,0.975218925,0.99547641,0.265425952
41,0,20,219.80503349568463,577.7240406776541,1.004294368,1.429201331,0.29282892299999996,6.27003086,1.2223263000000002,0.366165159,0.87498933,0.90206379,0.36688170600000003
43,0,21,194.27192710684938,591.3247163693424,1.11918173,1.6023396490000001,0.140578123,6.083600075,1.352391956,0.37411266600000004,0.91795526,0.90261357,0.25186822700000006
45,0,22,246.01233477298968,626.2495651389177,1.1786222720000001,1.776573149,0.36131250400000003,4.98885898,1.5156017560000001,0.37304913100000003,0.920646085,0.8625046199999999,0.36318814200000005
47,0,23,194.24430302637623,618.9813101624989,1.21398416,1.446774024,0.245426222,5.50027636,0.5727512960000001,0.404104353,0.968702765,0.99692583,0.33959037200000003
49,0,24,169.16282779265654,608.3328803649111,1.0776547760000001,1.6876642830000002,0.38163213,4.947367335,2.53177108,0.367944163,0.99568374,0.91715775,0.31977410800000006
51,0,25,171.70322514187723,600.8167176109835,1.16551666,1.675816405,0.342661781,5.09211873,2.857186312,0.40990545300000003,0.97110269,0.96256458,0.36110684800000004
53,0,26,222.29097883771198,623.8413571590869,0.956408478,1.7754779670000003,0.37826504499999997,6.19042698,1.993932016,0.428120907,0.90623199,0.94472172,0.37334544300000005
55,0,27,241.517939767043,591.1804912431533,1.2334874820000001,1.588251626,0.26738547199999996,5.3523333,1.761420824,0.325634807,0.90896645,0.93914895,0.26344725700000005
57,0,28,169.42307376306667,596.1946924490982,1.1682696140000002,1.48789313,0.247182962,4.782527225,2.74017744,0.43053803199999996,0.99091298,0.96466374,0.361956954
59,0,29,226.447053726327,577.0590728262016,1.08312191,1.636140948,0.204377064,6.09242409,1.218057736,0.318151388,0.964630165,0.80062938,0.31948096800000003
61,0,30,222.53140081763027,608.3574562529917,1.0495824,1.4035641159999999,0.20543110800000003,4.894047755,2.754991868,0.36893034999999996,0.96217206,0.7508742899999999,0.25131126100000006
63,0,31,207.10407749423211,604.9006709567303,1.225267394,1.495410061,0.24870547,6.214646085,1.879936248,0.42906842,0.855920835,0.92900301,0.354027517
65,0,32,213.4230660318619,680.6899847965342,1.293819826,1.451353876,0.190996561,5.245881885,1.106321796,0.448560116,0.95812855,0.77646405,0.27993638200000004
67,0,33,207.27328705963123,583.9584649294894,1.199482684,1.555296604,0.14359386000000002,4.92990705,2.329390928,0.326891712,0.93415839,0.89744064,0.37053129900000004
69,0,34,166.03554476822052,572.1038754049841,1.2374424300000002,1.7878734360000001,0.373111941,6.117957410000001,2.1292706040000002,0.44360984400000003,0.90224666,0.80337828,0.26136596300000003
71,0,35,162.50961879272774,610.7927984029037,1.026666966,1.418498416,0.25690359,5.72819879,2.305035004,0.42028942199999997,0.988833045,0.94184787,0.345101404
73,1,0,186.05347728427498,640.4274236418548,1.2087347092698402,1.76457491897874,0.29434174905983995,5.3106784887503995,1.8579920723584797,0.33270346090799996,0.8866690466100001,0.999,0.27234826082816
75,1,1,274.973952857128,617.6478204000888,1.31352671790928,1.8430010383315198,0.38438569975826004,4.709172808595,1.6822128055685603,0.30746538669,0.9042622325706,0.9458196899496,0.22710563387568
77,1,2,175.46544138811927,637.3325353621851,1.2978402640879998,1.50254094319232,0.15436052762280003,4.931583218397,2.38031141368608,0.3507221178048,0.9499083004553999,0.999,0.36887872940646005
79,1,3,198.23025826914323,610.4956577954448,1.1907166038432002,1.92486029866632,0.34280778915198,6.1665339918354,2.0981832531816003,0.41708197532880004,0.8584335621903999,0.7282302756887999,0.27829725008314
81,1,4,256.9908551302087,593.4064659489234,1.23736106696024,1.2896997069660998,0.32918347527768005,5.432689584275199,1.7644339279999999,0.24264347693760005,0.8418668540919001,0.7948396125,0.24851449407206005
