iteration,fitness,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
1,407.96307718455876,1.011484230784,0.9450500875200003,0.17723762495999998,4.1559735808,3.455488,0.32750294879999997,0.41983363200000007,0.269152416,0.327372
2,225.39549552673574,0.9464266753802156,1.0275722488218002,0.1991456254964611,3.1826405954559998,2.982097342096297,0.44395142738324733,0.999,0.31343274800772486,0.3058879505443136
3,263.6011790410913,0.5952023711378711,1.1074203444050168,0.13278769101948773,3.722465633410056,3.2843483415521866,0.3508735146247778,0.36080428166300693,0.999,0.3428925594430228
4,196.71152167321688,0.9167928758377131,0.7531860036638287,0.1122505534989826,3.1996891086376125,5.640930635153827,0.3922536941009279,0.36822321591381524,0.3115045845139893,0.4170855923186087
5,104.5673147276162,0.8019701413366863,1.1879907787006758,0.09498117801406386,2.9228423920374227,1.9809705482396947,0.35438078277635554,0.999,0.999,0.2737001232830052
6,246.36573228130678,0.7506498241190613,0.944661120269836,0.08180748554819323,2.7637464150194875,4.4939726957710935,0.15776586437195636,0.8761638655929004,0.999,0.22684283528054708
7,114.98348376364547,0.7010713242901645,1.1221419369847057,0.10719990901433374,3.951106401763134,2.279613287127213,0.2566682913116013,0.999,0.999,0.21590524706822886
8,209.43339785390035,0.5443001852991293,1.3038062917568147,0.17781034039094049,2.3805935343534856,4.2538501603826715,0.1736271381372961,0.82751900265,0.960203683910161,0.14397926147071616
9,217.7897426926173,0.6651853026184914,1.2911664029023113,0.17472588759216306,2.4832371887434097,3.8876480462261593,0.1723402904983342,0.999,0.8004685322323257,0.20793800218193062
10,105.36804528158777,0.7188073920804778,1.1027641418403489,0.11263667497902452,3.32031785899693,5.043801536890312,0.16355757174980787,0.999,0.853963855382104,0.3079034887693585
11,208.93819965745192,0.6935351880307261,1.278711499726648,0.15687612970558693,2.173708989086782,4.024691534750406,0.2069849321144629,0.999,0.8753436093107104,0.1888565835322025
12,93.6662737435698,0.5798721177828774,0.6103961403939783,0.11783157429174271,4.405975763384113,4.880528792846898,0.2221712697328445,0.999,0.7934225700679672,0.33189199520214563
13,211.95407907194394,0.5432629221326941,1.537046333678818,0.19377245277863406,3.7584977366358654,3.3006236180224287,0.12832043521368913,0.999,0.999,0.2069363245344046
14,158.5272516181063,0.5857553298286708,1.7127122980658815,0.09035492687761347,3.5600568576006855,4.271212160528466,0.17071475052384727,0.999,0.999,0.11912557828703864
15,183.27951176353812,0.8814036908045516,0.7818657924011645,0.1309952886079601,4.278850293503532,3.038120829778589,0.18592358113843857,0.999,0.9248281460999999,0.18559197913661518
16,145.5017666099644,0.5274259894118224,1.2224517916399575,0.08935651012609858,3.2760809438582594,5.081386993058018,0.17983136144663317,0.999,0.7687990883511207,0.15652314481611107
17,184.59191162977012,0.45668803765270033,1.2416648219588045,0.09029053585514467,3.0788687336322575,4.360325983414302,0.17163623050787638,0.999,0.6551951846636523,0.17983136144663317
18,166.26399646486706,0.5249427469734543,1.1736037196725937,0.06684172957153764,4.060539121572897,5.3746087829811495,0.1273395558042725,0.9767052974090505,0.7166479335987571,0.1258921548165237
19,132.55912740296262,0.6057154500662475,0.42540760430224944,0.22261577876760552,3.87399264256672,2.993612394119066,0.19360053938262622,0.9972078763781208,0.999,0.3674213486098025
20,138.48434070808307,0.6591069977416837,0.9985804043444089,0.09607140270038758,4.634979122554694,6.132148015473569,0.09541454602610257,0.999,0.8944785855457392,0.11441932742616993
21,141.01426125339694,0.7189746461888725,0.8137947932870708,0.07013932709274937,3.36756280109226,4.216343456861174,0.10371580557701086,0.999,0.7807695929314359,0.1506624691069746
22,105.4460256250546,0.7130220182747643,0.884122263875475,0.07953361697285752,3.389923713752196,4.48508336363597,0.09590380839592498,0.999,0.82866555495,0.11075585257159622
23,133.0178454244743,0.8473120719489303,0.8904957482520186,0.07006248874982139,4.917301476805415,5.301297712939805,0.09187014266489772,0.999,0.7943407760777802,0.16889349446354163
24,117.44525659205723,0.8850557624121025,0.9524533735477094,0.06121355242195093,3.1479436707285795,3.8072336532853703,0.09726387319577588,0.999,0.8577752440042841,0.08885117659182042
25,179.22075322641817,0.9276204100718708,0.8378495265935534,0.0876533345623746,4.3145103649920165,6.930723164198802,0.08613426021807892,0.999,0.999,0.09240948855372953
